model,loglik,npar,AIC,BIC
M1: Baseline,-5818.141127157787,10,11656.282254315574,11712.311258937621
M2: Demographics,-2884.3084309931846,30,5828.616861986369,5996.703875852512
M3: + County,-2857.205738317296,50,5814.411476634592,6094.55649974483
M4: + Household,-871.5604222799765,70,1883.120844559953,2275.323876914286
